,method_key,dataset_key,compression_kwargs,balancing_kwargs,seed,time1,status,checksum,bias
26,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",26,1.368870496749878,Done,512.8123133108263,15.234173158029726
27,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",27,1.4905104637145996,Done,502.09680421729547,12.698214388742741
28,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",28,1.273024559020996,Done,508.8049831814471,4.091211925736616
29,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",29,1.4362618923187256,Done,540.1761805935183,20.373861138131943
30,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",30,1.3694519996643066,Done,567.0567799834796,7.2851488486344635
31,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",31,1.2658543586730957,Done,551.4673717686484,6.83727403144411
32,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",32,1.3859469890594482,Done,533.3225256432846,20.366618728948445
33,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",33,1.4625935554504395,Done,520.0613232381139,14.72657570931436
34,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",34,1.462599754333496,Done,532.755189714652,9.800112257628484
35,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",35,1.4421074390411377,Done,510.04429150648883,23.865986079625934
36,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",36,1.5167427062988281,Done,565.4146409151415,12.651354124379495
37,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",37,1.6758694648742676,Done,576.103197843988,19.090214650910127
